服務地點,倉庫別,客戶名稱,維護時間,行車距離,郵遞區號3碼,郵遞區號,樓層,出租單號,週清1,週清2,緯度,經度,排程總序號,count,zone_id
基隆市七堵區俊賢路28號旁,5D-五股倉,74819 建銘營造-基隆七堵,8.0,67.9,206,基隆市七堵區,1,RT20250000012846,1.0,,25.095155,121.7048,1085,1,6
基隆市七堵區六堵工業區工東街10號,5D-五股倉,78112 龍誠營造有限公司,8.0,69.4,206,基隆市七堵區,1,RT20250000012898,1.0,,25.0872,121.704769,1085,1,6
基隆市七堵區崇禮街1號,5D-五股倉,72774 旺邦-七堵,24.0,66.23333333,206,基隆市七堵區,1,RT2025000349,1.0,,25.099777,121.718667,1085,3,6
基隆市七堵區泰安路137號斜對面工地,5D-五股倉,77726 紘洋工程行-七堵區,8.0,71.8,206,基隆市七堵區,1,RT20250000011265,1.0,,25.078253,121.712581,1085,1,6
基隆市中山區中山一路263號旁,5D-五股倉,74551 鴻信營造-基隆,8.0,77.05,203,基隆市中山區,1,RT20240000011958,1.0,,25.135614,121.740375,1040,1,6
"基隆市中山區中山四路28號 25°09'02.2""N 121°44'43.0""E",5D-五股倉,76735 壹山營造-西28A碼頭,8.0,103.28,203,基隆市中山區,1,RT202500006760,1.0,,25.154494,121.751925,1040,1,6
"基隆市中山區光華路29號 嘉新水泥廠附近  25°09'21.8""N 121°44'54.3""E",5D-五股倉,76736 壹山營造-西33號碼頭,16.0,103.16,203,基隆市中山區,1,RT202500006761,1.0,,25.155617,121.748761,1040,2,6
"基隆市中山區太白里光華塔附近 25°09'16.8""N 121°45'06.8""E",5D-五股倉,76737 壹山營造工程股份有限公司,8.0,105.14,203,基隆市中山區,1,RT202500006762,1.0,,25.150361,121.745477,1040,1,6
基隆市中山區復興路219號旁,5D-五股倉,76910 新橫濱社區,8.0,98.18,203,基隆市中山區,1,RT202500007375,1.0,,25.148091,121.723859,1040,1,6
基隆市中山區文化路164號-德和國小,5D-五股倉,75739 長聖營造-德和國小,16.0,99.9,203,基隆市中山區,1,RT202500002018,1.0,,25.155178,121.730328,1040,2,6
基隆市中正區中正路5-1號-長榮桂冠酒店斜對面壹山營造工區,5D-五股倉,76191 壹山營造-第五碼頭,16.0,80.64,202,基隆市中正區,1,RT202500003891,1.0,,25.136916,121.74705,1050,2,6
基隆市中正區義二路211號,5D-五股倉,75885 原榮實業-橙品211,8.0,80.04,202,基隆市中正區,1,RT202500002638,1.0,,25.135341,121.748219,1050,1,6
基隆市中正區義二路99號旁的工地,5D-五股倉,76312 王鼎-義二路,8.0,79.69,202,基隆市中正區,1,RT202500004396,1.0,,25.132664,121.746439,1050,1,6
基隆市仁愛區仁二路236號(東岸商場&文化廣場間),5D-五股倉,68344 義力營造-仁愛區,24.0,81.56,200,基隆市仁愛區,1,RT20250000013351,1.0,,25.130939,121.743894,1070,3,6
基隆市仁愛區精一路32號旁,5D-五股倉,72477 頂發建設-基隆,8.0,78.44,200,基隆市仁愛區,1,RT20250000012819,1.0,,25.126611,121.741055,1070,1,6
基隆市仁愛區精一路6號,5D-五股倉,70817 都發建設-同#62143工地,8.0,78.64,200,基隆市仁愛區,1,RT202500001904,1.0,,25.125584,121.740789,1070,1,6
基隆市信義區正信路205號,5D-五股倉,77212 王鼎營造-正信路,8.0,91.3,201,基隆市信義區,1,RT202500008873,1.0,,25.133994,121.759314,1060,1,6
基隆市信義區深溪路與新豐街口(第八攤)-吳老鋪,5D-五股倉,54227 吳老舖手作燒物酒場,8.0,87.97,201,基隆市信義區,1,RT202500003942,1.0,,25.13508,121.783231,1060,1,6
基隆市信義區深澳坑路86巷2號對面,5D-五股倉,76989 開豐資產-培德段,8.0,86.82,201,基隆市信義區,1,RT202500007685,1.0,,25.126181,121.781798,1060,1,6
