Lat,Lon,Original_ID,ordercode,serialno,floor,Service_Time,Freq,Address,Depot_Raw,Node_ID,Order_Count,Nearest_Anchor,Anchor_Type,Anchor_Distance_km,Cluster_ID,Travel_Time,Total_Time
24.50611,120.82502,75567 加豐營造-公館,RT202500001347,1640,1,16.0,1x,苗栗縣公館鄉玉泉村13鄰353號附近24 30 22.3  120 49 29.9,5A-平鎮倉,N_0000,2,國1-苗栗,N1,2.075214689254926,5,32.86916631378589,48.86916631378589
24.50879,120.82456,73467 順業營造-公館,RT20250000013371,1640,1,16.0,1x,苗栗縣公館鄉玉泉村玉泉34號,5A-平鎮倉,N_0001,2,國1-苗栗,N1,1.7746664587183538,5,32.48228832456435,48.48228832456435
24.59461,120.80884,73963 長見營造-苗栗長春,RT20250000012839,1620,1,8.0,1x,苗栗縣苗栗市福安里福星252之1號-長春石油化學,5A-平鎮倉,N_0002,1,國1-苗栗,N1,7.918354197918789,5,21.611004697685743,29.611004697685743
24.59955,120.72284,78018 尚鋐營造有限公司,RT20250000012543,1610,1,80.0,1x,苗栗縣後龍鎮114-1號-後龍清海宮,5A-平鎮倉,N_0003,10,國3-通霄,N3,11.533671442895018,5,32.65657137830399,112.656571378304
24.61506,120.82579,72291 騰元-苗栗高鐵,RT20250000010605,1610,1,8.0,1x,苗栗縣後龍鎮頂椅七街&新港一路交叉口,5A-平鎮倉,N_0004,1,國3-竹南,N3,7.143720645772728,5,17.196472022052223,25.196472022052223
24.61932,120.85708,76686 競捷營造-造橋鄉,RT202500006382,1600,1,8.0,1x,"苗栗縣造橋鄉平興鄉24°37'10.3""N 120°51'27.4""E",5A-平鎮倉,N_0005,1,國3-竹南,N3,6.353017116742317,5,13.502823906195411,21.50282390619541
24.62354,120.89486,76540 景賀營造-大西二街,RT202500005678,1600,1,8.0,1x,苗栗縣造橋鄉大西二街126巷3號,5A-平鎮倉,N_0006,1,國3-竹南,N3,7.835781591684165,5,11.066803658444183,19.066803658444183
24.62995,120.8367,75911 隨形工程-寶吉祥寺,RT20250000013419,1600,1,8.0,1x,苗栗縣造橋鄉龍昇村五鄰九車籠8-1號對面工地-依座標,5A-平鎮倉,N_0007,1,國3-竹南,N3,5.214488150198389,5,14.153084668767523,22.153084668767523
24.63315,120.83814,76346 佛教仁欽-寶吉祥佛寺,RT202500004736,1600,1,8.0,1x,"苗栗縣造橋鄉龍昇村-寶吉祥佛寺24°38'47.1""N 120°50'15.3""E",5A-平鎮倉,N_0008,1,國3-竹南,N3,4.832958763399416,5,13.608667674592882,21.60866767459288
24.64062,120.86932,77997 千誠營造-造橋鄉,RT20250000012451,1600,1,16.0,1x,苗栗縣造橋鄉13鄰東興36號-凱撒衛浴-造橋發貨中心附近-附地標,5A-平鎮倉,N_0009,2,國3-竹南,N3,4.598290694441005,5,9.412732132742264,25.412732132742264
