Node_ID,Lat,Lon,Depot_Raw,Depot_Code,Depot_Name,Address,County,Service_Time,weekly_1,weekly_2,Freq,Order_Count,order_id,Original_ID,Nearest_Anchor,Anchor_Dist_KM
N_24.98488_121.58827,24.98488,121.58827,5A-平鎮倉,Pingzhen,平鎮總部,臺北市文山區萬壽路75巷口,台北市,8.0,1,0,,1,RT202500009329,,五股交流道,19.807
N_24.98719_121.56166,24.98719,121.56166,5A-平鎮倉,Pingzhen,平鎮總部,臺北市文山區興隆路４段109巷工地-電聯定位,台北市,48.0,1,0,,6,RT20250000013578|RT20250000013578|RT20250000013578|RT20250000013578|RT20250000013578|RT20250000013578,,泰山轉接道,17.058
N_24.98839_121.56246,24.98839,121.56246,5A-平鎮倉,Pingzhen,平鎮總部,臺北市文山區木柵路2段200號旁-木柵A1,台北市,8.0,1,0,,1,RT202500001240,,泰山轉接道,17.086
N_24.98848_121.56597,24.98848,121.56597,5A-平鎮倉,Pingzhen,平鎮總部,臺北市文山區木柵路三段43號,台北市,8.0,1,0,,1,RT202400007151,,泰山轉接道,17.44
N_24.98853_121.58425,24.98853,121.58425,5A-平鎮倉,Pingzhen,平鎮總部,臺北市文山區政大二街129號旁小公園,台北市,8.0,1,0,,1,RT20250000013056,,五股交流道,19.212
N_24.98882_121.5624,24.98882,121.5624,5A-平鎮倉,Pingzhen,平鎮總部,臺北市文山區木柵路2段200號旁-木柵A1,台北市,16.0,1,0,,2,RT20250000011709|RT20250000011709,,泰山轉接道,17.061
N_24.98891_121.56234,24.98891,121.56234,5A-平鎮倉,Pingzhen,平鎮總部,臺北市文山區木柵路2段200號旁,台北市,24.0,1,0,,3,RT202500008619|RT202500008619|RT202500008619,,泰山轉接道,17.05
N_24.98922_121.56523,24.98922,121.56523,5A-平鎮倉,Pingzhen,平鎮總部,臺北市文山區久康街45號,台北市,8.0,1,0,,1,RT20250000011540,,泰山轉接道,17.332
N_24.99079_121.57762,24.99079,121.57762,5A-平鎮倉,Pingzhen,平鎮總部,臺北市文山區秀明路二段163巷工地,台北市,42.0,1,0,,3,RT20250000013546|RT20250000013546|RT20250000013546,,五股交流道,18.459
N_24.99315_121.54235,24.99315,121.54235,5A-平鎮倉,Pingzhen,平鎮總部,臺北市文山區景美街5巷23號,台北市,8.0,1,0,,1,RT20250000012825,,泰山轉接道,14.833
N_24.99775_121.54783,24.99775,121.54783,5A-平鎮倉,Pingzhen,平鎮總部,臺北市文山區景華街171號,台北市,8.0,1,0,,1,RT202500002856,,泰山轉接道,15.186
N_24.9978_121.54786,24.9978,121.54786,5A-平鎮倉,Pingzhen,平鎮總部,臺北市文山區景華街171號-8F,台北市,19.0,1,0,,1,RT20250000010415,,泰山轉接道,15.186
N_24.99782_121.54786,24.99782,121.54786,5A-平鎮倉,Pingzhen,平鎮總部,臺北市文山區景美街171號,台北市,27.0,1,0,,2,RT202500005960|RT202500007113,,泰山轉接道,15.186
N_24.99896_121.55032,24.99896,121.55032,5A-平鎮倉,Pingzhen,平鎮總部,臺北市文山區興隆路二段96巷39號,台北市,8.0,1,0,,1,RT202400009470,,泰山轉接道,15.392
N_25.00882_121.55882,25.00882,121.55882,5A-平鎮倉,Pingzhen,平鎮總部,臺北市文山區辛亥路四段21巷-上去左手邊工地,台北市,8.0,1,0,,1,RT20250000010579,,五股交流道,15.623
N_25.01171_121.53288,25.01171,121.53288,5A-平鎮倉,Pingzhen,平鎮總部,臺北市中正區思源街1號-自來水博物館附近,台北市,40.0,1,0,,5,RT202500008349|RT202500008349|RT202500008349|RT202500008349|RT202500008349,,五股交流道,13.058
N_25.01342_121.52675,25.01342,121.52675,5A-平鎮倉,Pingzhen,平鎮總部,臺北市中正區同安街109巷10號-古亭河濱公園-臨近永福橋下,台北市,8.0,1,0,,1,RT202500008688,,泰山轉接道,12.382
N_25.01574_121.57629,25.01574,121.57629,5A-平鎮倉,Pingzhen,平鎮總部,臺北市信義區紫雲街71號,台北市,8.0,1,0,,1,RT20240000010429,,五股交流道,16.958
N_25.01657_121.49558,25.01657,121.49558,5A-平鎮倉,Pingzhen,平鎮總部,臺北市萬華區萬大路附近-華中橋下-電聯帶定位,台北市,32.0,1,0,,4,RT202500004015|RT202500004015|RT202500004015|RT202500004015,,泰山轉接道,9.031
N_25.01761_121.56938,25.01761,121.56938,5A-平鎮倉,Pingzhen,平鎮總部,臺北市信義區吳興街600巷76弄129號,台北市,8.0,1,0,,1,RT20230000012822,,五股交流道,16.178
N_25.01857_121.57844,25.01857,121.57844,5A-平鎮倉,Pingzhen,平鎮總部,臺北市信義區青雲街36巷9號,台北市,8.0,1,0,,1,RT20250000010682,,五股交流道,17.04
N_25.02148_121.53101,25.02148,121.53101,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區泰順街62巷7號旁,台北市,16.0,1,0,,2,RT20230000015558|RT20230000015558,,五股交流道,12.264
N_25.02203_121.55896,25.02203,121.55896,5A-平鎮倉,Pingzhen,平鎮總部,臺北市信義區崇德街146巷81號旁空地,台北市,8.0,1,0,,1,RT202500001572,,五股交流道,14.924
N_25.02214_121.53139,25.02214,121.53139,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區泰順街68號,台北市,8.0,1,0,,1,RT202400001267,,五股交流道,12.259
N_25.02242_121.5626,25.02242,121.5626,5A-平鎮倉,Pingzhen,平鎮總部,臺北市信義區吳興街284巷36弄-附座標-銜接#74759,台北市,8.0,1,0,,1,RT202500008809,,五股交流道,15.267
N_25.02258_121.49911,25.02258,121.49911,5A-平鎮倉,Pingzhen,平鎮總部,臺北市萬華區萬大路長泰街口-萬大國小-CQ850A,台北市,24.0,1,0,,3,RT20250000013233|RT20250000013233|RT20250000013232,,泰山轉接道,9.15
N_25.02376_121.55177,25.02376,121.55177,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區基隆路2段210~220號,台北市,8.0,1,0,,1,RT20250000012539,,五股交流道,14.126
N_25.02397_121.53591,25.02397,121.53591,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區和平東路二段18巷9號,台北市,8.0,1,0,,1,RT202500007251,,五股交流道,12.577
N_25.02407_121.53591,25.02407,121.53591,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區和平東路二段18巷9號,台北市,8.0,1,0,,1,RT202500007253,,五股交流道,12.571
N_25.02554_121.54765,25.02554,121.54765,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區四維路228巷巷口-精誠詠樂,台北市,8.0,1,0,,1,RT20250000010422,,五股交流道,13.629
N_25.02564_121.52255,25.02564,121.52255,5A-平鎮倉,Pingzhen,平鎮總部,臺北市中正區南昌路2段128號,台北市,8.0,1,0,,1,RT20250000011109,,五股交流道,11.227
N_25.02576_121.52264,25.02576,121.52264,5A-平鎮倉,Pingzhen,平鎮總部,臺北市中正區南昌路２段128號,台北市,8.0,1,0,,1,RT20250000011108,,五股交流道,11.227
N_25.02686_121.54794,25.02686,121.54794,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區敦化南路二段112號旁-成功市場,台北市,52.0,1,0,,6,RT202500008851|RT202500008851|RT202500008850|RT202500008850|RT202500008850|RT202500008850,,五股交流道,13.59
N_25.02694_121.5499,25.02694,121.5499,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區安和路二段187號,台北市,16.0,1,0,,2,RT20250000012078|RT20250000012078,,五股交流道,13.781
N_25.02726_121.53415,25.02726,121.53415,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區和平東路一段199巷1號,台北市,8.0,1,0,,1,RT202500008164,,五股交流道,12.223
N_25.02741_121.49046,25.02741,121.49046,5A-平鎮倉,Pingzhen,平鎮總部,臺北市萬華區西園路2段320巷61號(艋舺大道旁),台北市,16.0,1,0,,2,RT202500005754|RT202500005754,,泰山轉接道,8.07
N_25.02782_121.49041,25.02782,121.49041,5A-平鎮倉,Pingzhen,平鎮總部,臺北市萬華區西園路２段320巷56弄16-1號(艋舺大道旁),台北市,16.0,1,0,,2,RT20250000010236|RT20250000010236,,泰山轉接道,8.051
N_25.02802_121.50476,25.02802,121.50476,5A-平鎮倉,Pingzhen,平鎮總部,臺北市萬華區中華路二段416巷10弄9號旁空地,台北市,8.0,1,0,,1,RT20240000013698,,五股交流道,9.485
N_25.02825_121.53905,25.02825,121.53905,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區瑞安街222巷35號,台北市,8.0,1,0,,1,RT202500005403,,五股交流道,12.645
N_25.02913_121.52376,25.02913,121.52376,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區潮州街60巷2號旁,台北市,8.0,1,0,,1,RT20250000012404,,五股交流道,11.128
N_25.0292_121.51706,25.0292,121.51706,5A-平鎮倉,Pingzhen,平鎮總部,臺北市中正區重慶南路三段27巷&牯嶺街口,台北市,8.0,1,0,,1,RT202500008103,,五股交流道,10.501
N_25.03022_121.52621,25.03022,121.52621,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區金華街110號,台北市,16.0,1,0,,2,RT202400003187|RT202400003187,,五股交流道,11.297
N_25.03038_121.50307,25.03038,121.50307,5A-平鎮倉,Pingzhen,平鎮總部,臺北市萬華區中華路二段150巷29號,台北市,8.0,1,0,,1,RT202500003157,,五股交流道,9.174
N_25.03052_121.49184,25.03052,121.49184,5A-平鎮倉,Pingzhen,平鎮總部,臺北市萬華區長順街2號-大理高中,台北市,8.0,1,0,,1,RT20250000011450,,泰山轉接道,8.119
N_25.0309_121.54786,25.0309,121.54786,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區大安路2段63號,台北市,16.0,1,0,,2,RT20250000010414|RT20250000010414,,五股交流道,13.385
N_25.0328_121.54857,25.0328,121.54857,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區敦化南路二段14號,台北市,8.0,1,0,,1,RT202500007328,,五股交流道,13.368
N_25.0342_121.54598,25.0342,121.54598,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區大安路一段224巷-仁慈公園,台北市,8.0,1,0,,1,RT20250000012877,,五股交流道,13.042
N_25.03439_121.54409,25.03439,121.54409,5A-平鎮倉,Pingzhen,平鎮總部,"臺北市大安區復興南路一段313巷4號25°02'04.3""N 121°32'40.3""E",台北市,8.0,1,0,,1,RT202500002912,,五股交流道,12.843
N_25.0344_121.52971,25.0344,121.52971,5A-平鎮倉,Pingzhen,平鎮總部,臺北市中正區臨沂街75巷21號(從連雲街進入),台北市,8.0,1,0,,1,RT20250000010063,,五股交流道,11.409
N_25.03472_121.53004,25.03472,121.53004,5A-平鎮倉,Pingzhen,平鎮總部,臺北市中正區臨沂街75巷29號(從連雲街進入),台北市,12.0,1,0,,1,RT202400008203,,五股交流道,11.425
N_25.03546_121.53546,25.03546,121.53546,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區建國南路1段304巷47號,台北市,8.0,1,0,,1,RT202500007390,,五股交流道,11.925
N_25.03567_121.50003,25.03567,121.50003,5A-平鎮倉,Pingzhen,平鎮總部,臺北市萬華區和平西路三段125號-艋舺公園工地,台北市,16.0,1,0,,2,RT202500009418|RT202500009418,,五股交流道,8.546
N_25.03644_121.54549,25.03644,121.54549,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區大安路1段176巷7號,台北市,8.0,1,0,,1,RT20250000010838,,五股交流道,12.893
N_25.03679_121.54508,25.03679,121.54508,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區大安路１段176巷23號旁,台北市,8.0,1,0,,1,RT20250000010811,,五股交流道,12.835
N_25.03711_121.53154,25.03711,121.53154,5A-平鎮倉,Pingzhen,平鎮總部,臺北市中正區臨沂街71巷19弄23號,台北市,8.0,1,0,,1,RT202500006776,,五股交流道,11.454
N_25.03772_121.5314,25.03772,121.5314,5A-平鎮倉,Pingzhen,平鎮總部,臺北市中正區仁愛路二段96號旁工地,台北市,18.0,1,0,,1,RT202500005911,,五股交流道,11.41
N_25.03773_121.53479,25.03773,121.53479,5A-平鎮倉,Pingzhen,平鎮總部,臺北市大安區仁愛路三段22號-大安區幸安國民小學對面,台北市,8.0,1,0,,1,RT202500007800,,五股交流道,11.75
